fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
81,1985,215,0.10831234256926953,0.78,0.78,0.78,0.02065491183879093,0.975609756097561,0.18604651162790697,0.3125,0,0.2351351351351351
82,1725,118,0.06840579710144927,0.78,0.78,0.78,0.002898550724637681,0.8,0.03389830508474576,0.06504065040650407,0,0.1922664897306769
83,877,18,0.020524515393386546,0.76,0.76,0.76,0.0068415051311288486,1.0,0.3333333333333333,0.5,0,0.0225071225071225
84,1954,193,0.09877175025588536,0.8499999999999999,0.85,0.85,0.0020470829068577278,1.0,0.02072538860103627,0.04060913705583756,0,0.342391304347826
85,1488,153,0.1028225806451613,0.8300000000000002,0.8300000000000001,0.8300000000000001,0.006720430107526882,1.0,0.06535947712418301,0.1226993865030675,0,0.3320537428023032
86,1400,132,0.09428571428571429,0.75,0.75,0.75,0.0014285714285714286,0.5,0.007575757575757576,0.01492537313432836,0,0.2696629213483146
87,1205,113,0.0937759336099585,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.0,,0.0,,0,0.0995732574679943
88,1999,131,0.0655327663831916,0.75,0.75,0.75,0.0065032516258129065,0.9230769230769231,0.0916030534351145,0.16666666666666669,0,0.1708185053380783
89,1504,124,0.08244680851063829,0.8200000000000002,0.8200000000000001,0.8200000000000001,0.0,,0.0,,0,0.2727272727272728
90,2189,116,0.05299223389675651,0.75,0.75,0.75,0.0,,0.0,,0,0.1195219123505976
91,1346,125,0.09286775631500743,0.75,0.75,0.75,0.0,,0.0,,0,0.0879120879120879
92,1321,118,0.08932626797880394,0.7699999999999999,0.77,0.77,0.004542013626040878,1.0,0.05084745762711865,0.0967741935483871,0,0.2372881355932203
93,1669,117,0.0701018573996405,0.75,0.75,0.75,0.0035949670461354103,1.0,0.05128205128205128,0.09756097560975609,0,0.2032085561497326
94,1906,227,0.11909758656873033,0.7899999999999999,0.79,0.79,0.008394543546694649,0.875,0.06167400881057269,0.11522633744855967,0,0.3752357008170961
95,1851,121,0.06537007023230686,0.8,0.8,0.8,0.005942733657482442,0.9090909090909091,0.08264462809917356,0.1515151515151515,0,0.2585034013605441
96,1572,160,0.10178117048346055,0.75,0.75,0.75,0.03435114503816794,0.6296296296296297,0.2125,0.3177570093457944,0,0.569620253164557
